timestamp,request_id,customer_id,customer_name,plan_id,feature,model,session_id,agent_run_id,input_tokens,output_tokens,total_cost,latency_ms,status
2026-05-01T10:00:00Z,req_001,northstar_health,Northstar Health,pro,report_generation,claude-sonnet-4.6,sess_001,run_001,180000,90000,82,1400,success
2026-05-01T10:03:00Z,req_002,northstar_health,Northstar Health,pro,agent_workflow,claude-sonnet-4.6,sess_001,run_001,240000,120000,96,2200,success
2026-05-01T11:00:00Z,req_003,atlas_legal,Atlas Legal,pro,report_generation,claude-sonnet-4.6,sess_002,run_002,160000,80000,74,1300,success
2026-05-01T12:10:00Z,req_004,bluebird_support,Bluebird Support,team,document_summary,gemini-3.1-flash,sess_003,run_003,70000,30000,18,820,success
2026-05-01T12:20:00Z,req_005,orbit_finance,Orbit Finance,team,chat_assistant,gemini-3.1-flash,sess_004,run_004,60000,22000,12,610,success
2026-05-01T13:00:00Z,req_006,indie_ops,IndieOps,free,chat_assistant,gemini-3.1-flash,sess_005,run_005,40000,12000,5,520,success
2026-05-01T14:30:00Z,req_007,brightdesk_ai,BrightDesk AI,pro,report_generation,claude-sonnet-4.6,sess_006,run_006,150000,70000,69,1250,success
2026-05-01T15:00:00Z,req_008,cobalt_sales,Cobalt Sales,team,agent_workflow,claude-sonnet-4.6,sess_007,run_007,210000,110000,88,2100,success
2026-05-01T15:20:00Z,req_009,bluebird_support,Bluebird Support,team,chat_assistant,gemini-3.1-flash,sess_003,run_003,12000,4000,0,1320,retry
2026-05-01T15:24:00Z,req_010,orbit_finance,Orbit Finance,team,faq_summary,gemini-3.1-flash,sess_004,run_004,9000,3000,0,980,failed
2026-05-01T15:30:00Z,req_011,indie_ops,IndieOps,free,chat_assistant,gemini-3.1-flash,sess_005,run_005,8000,2000,0,540,success
2026-05-01T15:45:00Z,req_012,brightdesk_ai,BrightDesk AI,pro,document_summary,gemini-3.1-flash,sess_006,run_006,10000,3000,0,1210,retry
